Date, Close/Last, Volume, Open, High, Low
11/15/2019, 208.6, 179432, 208, 208.6183, 206.16
11/14/2019, 203.78, 226426, 202.55, 204.25, 200.3241
11/13/2019, 204.64, 149992, 201.04, 204.93, 200.73
11/12/2019, 202.89, 198198, 201.99, 205.37, 200.6961
11/11/2019, 201.17, 98789, 197.25, 201.95, 196.8
11/08/2019, 200.808, 186317, 196.27, 200.808, 193.88
11/07/2019, 197.51, 329518, 197.05, 200.9, 196.1112
11/06/2019, 193.36, 173050, 193.57, 193.62, 190.2018
11/05/2019, 193.18, 178259, 195.7, 195.7, 191.43
11/04/2019, 193.99, 266673, 195.62, 195.7701, 193
11/01/2019, 190.99, 372468, 186.98, 190.99, 185.64
10/31/2019, 184.52, 269380, 185.91, 186.32, 181.08
10/30/2019, 185, 219446, 183.14, 185.43, 179.71
10/29/2019, 181.51, 232993, 186.2, 187.3, 181.4
10/28/2019, 186.61, 289997, 184.27, 187.04, 184.27
10/25/2019, 179.82, 312832, 173.41, 180.5238, 173.08
10/24/2019, 173.7, 263566, 171.36, 174.1, 170.001
10/23/2019, 166.67, 192972, 164.84, 166.67, 163.49
10/22/2019, 166.2, 257669, 174, 175.7824, 165.75
10/21/2019, 173.31, 185811, 170.83, 173.31, 168.85
10/18/2019, 167.61, 245012, 172.19, 172.6299, 164.5
10/17/2019, 172.69, 278823, 176.06, 177.0938, 169.94
10/16/2019, 174.09, 218482, 175.44, 175.44, 171.84
10/15/2019, 177.61, 224082, 173.84, 178.6513, 173.5653
10/14/2019, 171.96, 210016, 171.54, 174, 171.4527
10/11/2019, 172.03, 616594, 171.52, 176.53, 170.65
10/10/2019, 165.25, 272522, 161.5, 167.2525, 161.0361
10/09/2019, 162.14, 241117, 160.28, 163.8, 159.4223
10/08/2019, 155.48, 380046, 161.22, 162.38, 155.47
10/07/2019, 164.29, 272582, 164.89, 168.32, 163.64
10/04/2019, 166.44, 358864, 161.58, 166.92, 161.5
10/03/2019, 158.63, 384617, 152.57, 158.82, 147.2291
10/02/2019, 152.94, 557885, 158.94, 159.01, 149.62
10/01/2019, 162.35, 333143, 169.02, 172.4854, 162.06
09/30/2019, 166.79, 186495, 163.61, 168.034, 163.26
09/27/2019, 161.8, 338562, 169.19, 169.569, 158.12
09/26/2019, 168.37, 236939, 167.93, 170.25, 164.89
09/25/2019, 168, 248248, 161.78, 169.47, 157.2513
09/24/2019, 162.21, 466590, 170.46, 172.4, 160.3501
09/23/2019, 167.39, 96252, 165.43, 168.94, 165
09/20/2019, 166, 263923, 173.69, 173.98, 164.9063
09/19/2019, 172.19, 272997, 172.34, 176.4, 171.222
09/18/2019, 171.11, 249292, 170.25, 171.1157, 163.8
09/17/2019, 170.75, 91881, 169.06, 170.8, 168.21
09/16/2019, 169, 120567, 166, 169.89, 165.6401
09/13/2019, 170.18, 244463, 173.14, 173.14, 169.7568
09/12/2019, 173.91, 363924, 174.26, 178, 171.9
09/11/2019, 171.19, 259937, 168.2, 171.38, 166.72
09/10/2019, 166.17, 257086, 166.01, 166.4329, 160.39
09/09/2019, 168.92, 290412, 174.97, 175.17, 166
09/06/2019, 172.59, 206063, 174.31, 174.376, 171.27
09/05/2019, 173.5, 388612, 169.29, 175.1699, 169.2572
09/04/2019, 163.15, 218675, 160.22, 163.15, 159.52
09/03/2019, 155.15, 419262, 156.93, 158.699, 153.3166
08/30/2019, 160.76, 304800, 164.26, 164.7731, 157.551
08/29/2019, 161.16, 372758, 159.37, 162.549, 157.72
08/28/2019, 153.18, 170144, 150.32, 153.9134, 147.05
08/27/2019, 152.79, 298227, 156.74, 157.48, 150.375
08/26/2019, 153.57, 430540, 153.02, 153.75, 149.82
08/23/2019, 147.71, 672038, 161.07, 165.6, 145.5601
08/22/2019, 163.71, 260750, 165.9, 167.25, 159.5
08/21/2019, 164.8, 220607, 164.13, 166.2, 163
08/20/2019, 159.6, 202693, 161.1, 163.57, 159.2601
08/19/2019, 161.92, 252664, 162.12, 163.3799, 159.37
08/16/2019, 154.73, 282060, 151.74, 155.6999, 150.915
08/15/2019, 146.74, 312242, 148.29, 149, 142.88
08/14/2019, 147.56, 590658, 153.27, 155.53, 146.1986
08/13/2019, 162.18, 639233, 150.42, 164, 149.82
08/12/2019, 150.97, 301627, 154.16, 155.6199, 148.851
08/09/2019, 157.16, 470722, 159.99, 161.3699, 153.6117
08/08/2019, 163, 408987, 155.56, 163, 154.5
08/07/2019, 152.03, 495815, 143.74, 153.0124, 141.53
08/06/2019, 149.28, 546253, 147.9, 150.5122, 144.31
08/05/2019, 142.1, 685044, 148.94, 150.19, 138.3067
08/02/2019, 161.88, 513535, 166.94, 166.94, 157.7404
08/01/2019, 170.97, 667043, 174.03, 185.1899, 168.31
07/31/2019, 173.39, 590733, 185.06, 185.15, 167.69
07/30/2019, 181.77, 188338, 181.34, 184, 180.465
07/29/2019, 185.61, 161264, 185.7, 186.3599, 181.056
07/26/2019, 185.85, 185738, 184.86, 186.71, 184.6185
07/25/2019, 182.57, 210455, 185.82, 185.82, 181.6
07/24/2019, 187.1, 214617, 181.42, 187.1, 180.76
07/23/2019, 182.4, 229111, 182.73, 182.8899, 178.5501
07/22/2019, 179.72, 290171, 175.17, 180.7, 175.17
07/19/2019, 173.22, 375887, 180, 180.9099, 173.07
07/18/2019, 176.21, 194406, 171.28, 176.78, 170.161
07/17/2019, 172.26, 138194, 174.41, 175.6222, 172.15
07/16/2019, 173.52, 285107, 178.25, 178.25, 172.58
07/15/2019, 178.44, 120652, 178.19, 179.4699, 177.121
07/12/2019, 177.04, 247279, 174.61, 177.1599, 173.6963
07/11/2019, 173.14, 249326, 172.43, 175, 171.4002
07/10/2019, 171.13, 256261, 169.92, 174.1399, 169.89
07/09/2019, 167.28, 171078, 162.89, 167.66, 162.41
07/08/2019, 165.66, 227436, 165.64, 166.0289, 163.18
07/05/2019, 169.76, 242590, 166.88, 170.36, 164.4192
07/03/2019, 170.36, 182195, 168.01, 170.36, 167
07/02/2019, 167, 146228, 164.93, 167, 164.1
07/01/2019, 165.75, 356464, 168.86, 169.25, 163.495
06/28/2019, 158.58, 216662, 159.5, 159.7942, 156.5
06/27/2019, 158.05, 148810, 158.37, 159.71, 157.11
06/26/2019, 156.89, 215347, 156.52, 160.08, 156.338
06/25/2019, 152.03, 436582, 160.53, 162.17, 151.43
06/24/2019, 160.95, 155972, 161.02, 162.4599, 160.33
06/21/2019, 160.06, 198956, 161.1, 164.17, 159.84
06/20/2019, 162.34, 413083, 162.83, 163.8777, 158.44
06/19/2019, 155.76, 325577, 155.28, 156.75, 152.34
06/18/2019, 153.97, 345375, 150.68, 156, 149.2862
06/17/2019, 146.36, 139907, 146.18, 148.0946, 145.1139
06/14/2019, 145.58, 230709, 145.64, 147.1, 143.8
06/13/2019, 149.66, 232054, 150.12, 151.2448, 148.02
06/12/2019, 148.39, 229894, 148.97, 149.84, 147.31
06/11/2019, 151.04, 397233, 155.74, 156.03, 148.5
06/10/2019, 150.79, 439353, 149.61, 155.135, 149.61
06/07/2019, 146.45, 412959, 140.94, 149, 140.1
06/06/2019, 138.86, 292097, 134.89, 139.5262, 133.3355
06/05/2019, 134.41, 345873, 133.99, 135.065, 129.8301
06/04/2019, 128.99, 425280, 121.71, 129.1, 120.11
06/03/2019, 117.31, 512756, 124.42, 126.5999, 114.88
05/31/2019, 123.99, 366167, 125.52, 127.5, 123.7896
05/30/2019, 130.42, 264634, 129.23, 131.225, 127.88
05/29/2019, 128.06, 338291, 127.67, 130.0065, 125.56
05/28/2019, 130.33, 234278, 132.74, 135.45, 130.3
05/24/2019, 131.84, 256579, 133.9, 135.6812, 131.251
05/23/2019, 131.72, 465925, 133.25, 133.4999, 128.67
05/22/2019, 138.98, 150658, 138.46, 141.55, 138.25
05/21/2019, 141.18, 240548, 140.5, 142.5, 139.62
05/20/2019, 136.29, 369334, 136.74, 139.6202, 134.089
05/17/2019, 143.95, 369850, 142.99, 149.6413, 142.97
05/16/2019, 147.79, 401546, 143.9, 150.52, 143.0043
05/15/2019, 143.3, 401823, 135.88, 144.6699, 135.24
05/14/2019, 139.13, 460714, 134.82, 141.45, 134.62
05/13/2019, 132.7, 600742, 136.84, 139.4599, 131.42
05/10/2019, 149.52, 529202, 146, 151.5499, 138.95
05/09/2019, 148.3, 485410, 145.75, 149.53, 140.6263
05/08/2019, 151.36, 393407, 150.19, 155.25, 149.77
05/07/2019, 151.9472, 514711, 156.63, 158.3999, 147.56
05/06/2019, 162.63, 446832, 154, 163.1218, 152.2421
05/03/2019, 166.36, 202962, 164.19, 166.65, 162.82
05/02/2019, 161.79, 448810, 164, 167.7, 159.22
05/01/2019, 164.57, 345783, 170.28, 171.9, 164.4401
04/30/2019, 165.83, 222015, 164.5, 166.2713, 161.83
04/29/2019, 164.83, 159644, 165, 166.44, 164.5
04/26/2019, 164.74, 305096, 163.88, 164.9, 159.6312
04/25/2019, 166.55, 253916, 169.53, 170.7499, 164.09
04/24/2019, 167.05, 202230, 167.24, 169.24, 166.32
04/23/2019, 166.92, 244451, 162.4, 167.2399, 161.8056
04/22/2019, 161.44, 163837, 158.17, 161.6172, 157.63
04/18/2019, 160.38, 252420, 160, 160.5, 156.92
04/17/2019, 159.1, 242660, 159.25, 159.64, 156.9
04/16/2019, 156.61, 224654, 155.98, 157.02, 154.46
04/15/2019, 154.37, 187309, 154.71, 155.5, 151.84
04/12/2019, 154.39, 165130, 153.77, 154.39, 151.37
04/11/2019, 151.38, 168125, 153, 153, 150.5
04/10/2019, 152.13, 204735, 149.23, 152.13, 149.11
04/09/2019, 148.97, 211175, 149.2, 150.7299, 147.89
04/08/2019, 151.17, 152059, 148.35, 151.25, 146.3801
04/05/2019, 149.38, 165256, 148.88, 149.813, 148.05
04/04/2019, 147.59, 286322, 149.38, 150.299, 145
04/03/2019, 149.34, 360144, 148.47, 151.5, 147.5
04/02/2019, 145.85, 158098, 144.71, 146.34, 143.41
04/01/2019, 144.32, 253112, 142.57, 144.7999, 140.5
03/29/2019, 138.63, 221248, 138.02, 138.76, 136.136
03/28/2019, 134.89, 147432, 134.33, 136.3499, 132.3501
03/27/2019, 133.42, 244528, 136.22, 137.4709, 129.75
03/26/2019, 135.63, 222900, 136.81, 139.29, 133.15
03/25/2019, 133.46, 419107, 134, 135.99, 130.79
03/22/2019, 134.99, 580461, 143.07, 144.925, 134.93
03/21/2019, 145.63, 353467, 135.7, 146.31, 135.5544
03/20/2019, 135.22, 356509, 136.08, 138.6247, 132.89
03/19/2019, 136.6, 300242, 137.4, 138.4299, 134.91
03/18/2019, 136, 334494, 135.08, 137.07, 133.5801
03/15/2019, 134.35, 295149, 130.71, 136.085, 130.71
03/14/2019, 129.7, 161828, 129.8, 130.77, 128.5701
03/13/2019, 128.99, 313497, 128.2, 131.1523, 127.75
03/12/2019, 126.46, 271337, 125.4, 127.69, 124.3459
03/11/2019, 124.39, 284287, 118.27, 124.599, 118.27
03/08/2019, 116.77, 316289, 112.53, 117, 111.74
03/07/2019, 116.92, 357118, 119.13, 119.5098, 115.72
03/06/2019, 120.31, 131311, 122.04, 122.38, 119.88
03/05/2019, 122.31, 99794, 123.18, 123.2, 121.1601
03/04/2019, 123.52, 397634, 126.62, 127.34, 119.39
03/01/2019, 124.8, 291545, 125.05, 125.6999, 121.9101
02/28/2019, 122.5, 158601, 122.15, 123.75, 121.55
02/27/2019, 123.56, 179863, 122.73, 123.92, 119.7401
02/26/2019, 123.9, 219490, 122.11, 124.92, 121.8
02/25/2019, 123.18, 325432, 124.37, 125.595, 122.8932
02/22/2019, 121.3, 273607, 118.78, 121.55, 118.762
02/21/2019, 117.01, 266261, 116.1, 118.33, 114.8248
02/20/2019, 116.74, 255582, 116.98, 118.25, 115.0001
02/19/2019, 116.49, 258631, 115.35, 117.4746, 115.245
02/15/2019, 116.23, 333212, 116.13, 116.7, 114.37
02/14/2019, 113.62, 219010, 112.37, 114.8, 111.65
02/13/2019, 113.23, 286247, 114.48, 115.5001, 112.97
02/12/2019, 112.83, 262218, 110.59, 113.12, 110.1719
02/11/2019, 108.44, 197429, 109.64, 110.552, 107.73
02/08/2019, 108.56, 338661, 103.82, 108.56, 103.63
02/07/2019, 106.79, 424668, 108.56, 109.755, 104.7
02/06/2019, 111.5, 276326, 110.92, 112.25, 109.3801
02/05/2019, 110.45, 275740, 108.79, 111.14, 108.7
02/04/2019, 107.74, 259178, 103, 107.74, 103
02/01/2019, 102.79, 190453, 100.96, 104.33, 100.36
01/31/2019, 100.92, 342106, 99.9, 102.68, 98.8797
01/30/2019, 101.37, 499324, 97.43, 102.075, 96.06
01/29/2019, 92.93, 218289, 96.02, 96.34, 92.34
01/28/2019, 95.85, 220154, 95.32, 95.88, 93.34
01/25/2019, 99.99, 319603, 97.92, 100.6399, 96.98
01/24/2019, 95.91, 189913, 94.46, 96.88, 94.38
01/23/2019, 93.49, 321281, 93.5, 95.61, 90.45
01/22/2019, 92.49, 677974, 95.4, 95.5, 90.31
01/18/2019, 97.51, 457221, 95.69, 98.0979, 94.2
01/17/2019, 93.33, 202586, 90.45, 94.8099, 89.82
01/16/2019, 91.47, 365394, 91.78, 93.27, 91.15
01/15/2019, 91.32, 257568, 88.04, 91.8488, 87.9
01/14/2019, 87.5, 165741, 87.42, 88.24, 86.47
01/11/2019, 89.95, 207972, 88.91, 90.07, 88.2889
01/10/2019, 90.38, 421374, 87.51, 90.53, 85.9799
01/09/2019, 89.2, 374523, 87.08, 90.6, 87.0532
01/08/2019, 86.1, 416697, 86.37, 87.1113, 83
01/07/2019, 83.85, 438612, 81.9, 85.5299, 81.14
01/04/2019, 81.71, 669343, 76.29, 82.6001, 75.3901
01/03/2019, 72.51, 789219, 78.36, 79.3, 72.4
01/02/2019, 85.03, 421237, 80, 86.52, 79.1714
12/31/2018, 85, 801867, 84.81, 85.84, 82.811
12/28/2018, 82.69, 679135, 85.03, 86.7799, 80.46
12/27/2018, 83.49, 725301, 78.06, 83.49, 73.5
12/26/2018, 81.25, 1082522, 70.6, 81.3737, 69.24
12/24/2018, 68.96, 510696, 72.77, 75.5799, 68.96
12/21/2018, 74.82, 1066391, 82.93, 85.5141, 73.93
12/20/2018, 82.72, 882874, 86.16, 88.77, 78.96
12/19/2018, 87.52, 767887, 92.62, 97.47, 84.38
12/18/2018, 92.9, 377741, 93.21, 95.25, 90.71
12/17/2018, 90.84, 623556, 95.87, 97.81, 88.48
12/14/2018, 96.93, 339229, 101, 102.5, 96.6579
12/13/2018, 104.66, 285086, 105.9, 107.99, 102.96
12/12/2018, 104.28, 337451, 107.07, 109, 104.07
12/11/2018, 101.84, 440329, 106.57, 106.799, 99.42
12/10/2018, 101.55, 569923, 96.2, 102.5208, 94.1533
12/07/2018, 97.29, 614333, 107.33, 108.9129, 96.1401
12/06/2018, 108.87, 680292, 100.74, 108.87, 99.08
12/04/2018, 108.2, 451809, 120.41, 120.41, 107.59
12/03/2018, 122.42, 484114, 123.99, 123.99, 118.5426
11/30/2018, 114.92, 292918, 111.92, 115, 110.3701
11/29/2018, 111.66, 349671, 114.08, 114.388, 109.87
11/28/2018, 114.8201, 518497, 106.47, 114.91, 106
11/27/2018, 104.1, 259687, 100.9, 104.58, 99.5
11/26/2018, 103.4, 361608, 101, 103.4, 99.1801
11/23/2018, 96.83, 146379, 96.3, 100.24, 96.03
11/21/2018, 99.58, 281802, 101.82, 102.7699, 98.51
11/20/2018, 97.79, 543254, 95.74, 101.6557, 93.7
11/19/2018, 104.42, 590171, 116, 116.472, 103.51
11/16/2018, 117.94, 307465, 114.1, 119.95, 113.628
11/15/2018, 118.38, 419188, 111.07, 119.2173, 108.7801
11/14/2018, 110.17, 288262, 117.94, 118.76, 108.56
11/13/2018, 114.46, 238842, 114.81, 120.18, 113.35
11/12/2018, 114.1, 392353, 123.78, 124.52, 113.5153
11/09/2018, 127.73, 239294, 130.53, 131.2157, 124.1988
11/08/2018, 134.22, 196739, 133.27, 135.0111, 132.05
11/07/2018, 134.67, 336737, 128.45, 134.8401, 127.8401
11/06/2018, 124.03, 176846, 121.3, 125.6139, 121.139
11/05/2018, 122, 161160, 121.99, 122.3699, 116.57
11/02/2018, 122.32, 462906, 125.97, 129.0799, 118.9818
11/01/2018, 129.96, 300961, 126.27, 130.05, 122.823
10/31/2018, 125.31, 412114, 122.31, 128.29, 122.31
10/30/2018, 116.93, 359860, 112.48, 118.244, 110.1
10/29/2018, 113.35, 521677, 124.55, 126.87, 106.272
10/26/2018, 119.27, 539452, 116.9, 126.04, 114.1466
10/25/2018, 126.76, 384197, 120.61, 128.95, 119.46
10/24/2018, 115.59, 534465, 132.23, 133.0468, 115.01
10/23/2018, 133.24, 418697, 126.94, 135.2399, 122.3053
10/22/2018, 134.72, 270581, 133.65, 137.1799, 130.9601
10/19/2018, 131.57, 386665, 134, 138.1095, 130.04
10/18/2018, 131.57, 257878, 138.04, 138.2, 129.2713
10/17/2018, 140.24, 233873, 142.46, 142.879, 136.2007
10/16/2018, 142.07, 344755, 135.19, 143.03, 134.3471
10/15/2018, 130.33, 249285, 135.43, 135.6827, 129.9
10/12/2018, 137.01, 480202, 135.5, 138.14, 129.47
10/11/2018, 125.33, 473573, 129.64, 135.4093, 122
10/10/2018, 131.01, 674046, 149.38, 149.38, 129.9781
10/09/2018, 152.05, 164835, 150.5, 154.5899, 149.2283
10/08/2018, 150.55, 332587, 154, 155.05, 145.4
10/05/2018, 155.82, 332233, 161.89, 163.01, 151.3
10/04/2018, 162.25, 414001, 169.31, 169.31, 158.8101
10/03/2018, 171.1415, 141687, 171.55, 173.5, 170.43
